Modelo,Accuracy Train,Accuracy Test,Gap Accuracy,F1 Train,F1 Test,Gap F1
Árboles de Decisión,0.8665967173798996,0.6558100900585818,0.2107866273213178,0.8662412195604327,0.6547637679092546,0.21147745165117804
Random Forest,0.9591358764895451,0.7276383667045554,0.23149750978498973,0.9590997521570886,0.7268582732344623,0.23224147892262637
Bayes Ingenuo,0.566345649404182,0.5622103698522339,0.0041352795519480345,0.5670622094024049,0.5635102051135671,0.00355200428883784
KNN,0.7565952184666117,0.6692314418116639,0.08736377665494777,0.7545976504547026,0.6666563956652362,0.08794125478946646
Regresión Logística,0.6603087761373004,0.6482906356562036,0.01201814048109684,0.659101260938529,0.6470436013644871,0.012057659574041923
SVM lineal,0.6447950236078843,0.6369677362944828,0.007827287313401543,0.6299782591420781,0.6217161628067428,0.008262096335335256
RNA Tuneada,0.7560893352319569,0.7124683046253388,0.04362103060661804,0.7568948826326833,0.7137855626093618,0.04310932002332157
