Modelo,RMSE Train,RMSE Test,R² Train,R² Test,Gap R²
Árboles de Regresión,1200.2450719730089,2007.3306189218822,0.9200759017804728,0.7782106897992151,0.14186521198125768
Random Forest,974.3587039308931,1622.0536694893476,0.9473285080756197,0.8551784366509189,0.09215007142470089
KNN,1836.8537543134423,2344.1480552907415,0.8128081043387275,0.6975365734239927,0.11527153091473485
Regresión Lineal,3258.2136416866365,3329.493217602829,0.4110248150706485,0.38981846527122865,0.02120634979941982
SVR lineal,4251.143944891554,4269.124891456532,-0.0026503342802355334,-0.003183803958066056,0.0005334696778305226
Bayes Ingenuo,,,,,
RNA Tuneada,1441.576073901415,1975.0309487883103,0.8847043258297786,0.7852908252604244,0.09941350056935427
