Modelo,RMSE Test,MAE Test,R² Test,Tiempo entrenamiento (s),Estado
Random Forest,1622.0536694893476,242.3030965202469,0.8551784366509189,26.298171281814575,OK
RNA Tuneada,1975.0309487883103,346.80704529229837,0.7852908252604244,16.647562503814697,OK
Árboles de Regresión,2007.3306189218822,280.9515231879169,0.7782106897992151,1.5988821983337402,OK
KNN,2344.1480552907415,351.77179954783344,0.6975365734239927,0.5629961490631104,OK
Regresión Lineal,3329.493217602829,925.994668691511,0.38981846527122865,0.6212713718414307,OK
SVR lineal,4269.124891456532,590.1912280482633,-0.003183803958066056,0.7273352146148682,OK
Bayes Ingenuo,,,,,No comparable para regresión continua
