Modelo,Accuracy Test,F1 ponderado Test,Tiempo entrenamiento (s),Estado
Random Forest,0.7276383667045554,0.7268582732344623,2.8926968574523926,OK
RNA Tuneada,0.7124683046253388,0.7137855626093618,23.602522134780884,OK
KNN,0.6692314418116639,0.6666563956652362,0.4283730983734131,OK
Árboles de Decisión,0.6558100900585818,0.6547637679092546,1.249265193939209,OK
Regresión Logística,0.6482906356562036,0.6470436013644871,55.82558250427246,OK
SVM lineal,0.6369677362944828,0.6217161628067428,8.498831510543823,OK
Bayes Ingenuo,0.5622103698522339,0.5635102051135671,0.5601248741149902,OK
